iter	RMSE
0	24.26962169
1	24.09586715
2	23.94124995
3	23.84448978
4	23.75933474
5	23.70146465
6	23.66779911
7	23.5277946
8	23.3981887
9	23.32293842
10	23.08259487
11	22.86162318
12	22.76084566
13	22.56308951
14	22.37123965
15	22.31912741
16	22.30642853
17	22.23491896
18	22.14141016
19	21.98677488
20	21.81994013
21	21.80029829
22	21.66041966
23	21.6257161
24	21.61880892
25	21.48938211
26	21.43487803
27	21.42141
28	21.36445376
29	21.35502368
30	21.3403413
31	21.31152768
32	21.28146066
33	21.2249846
34	21.16302589
35	21.1587824
36	21.15191717
37	21.10555459
38	21.03585534
39	20.97967251
40	20.96466688
41	20.94729263
42	20.82732191
43	20.77426606
44	20.76932856
45	20.65974912
46	20.59807695
47	20.53467406
48	20.4560412
49	20.45096729
50	20.44901972
51	20.44858991
52	20.32784753
53	20.30696269
54	20.24981393
55	20.19707914
56	20.16714957
57	20.13407602
58	20.13334281
59	20.08559402
60	20.07956593
61	20.05046016
62	20.02737839
63	19.99999809
64	19.99692857
65	19.95759755
66	19.95496827
67	19.92335247
68	19.90448002
69	19.85737843
70	19.79363366
71	19.73401872
72	19.70709211
73	19.66705016
74	19.66580491
75	19.65340917
76	19.65247777
77	19.63253383
78	19.57732558
79	19.57423088
80	19.54271327
81	19.50257603
82	19.48701477
83	19.47147526
84	19.44996344
85	19.43042208
86	19.42755515
87	19.42358131
88	19.41275182
89	19.41155796
90	19.31579076
91	19.31077429
92	19.29988432
93	19.28738781
94	19.28099552
95	19.2585813
96	19.20052846
97	19.15026059
98	19.14019461
99	19.08593434
100	19.03151617
101	19.02081346
102	19.00319286
103	18.95911798
104	18.95694703
105	18.95637783
106	18.95423557
107	18.95407254
108	18.93430946
109	18.92673088
110	18.84159734
111	18.79977647
112	18.7996348
113	18.79534598
114	18.76380947
115	18.73720687
116	18.65706759
117	18.65518814
118	18.64779598
119	18.64472905
120	18.57752353
121	18.54992071
122	18.53591562
123	18.5240806
124	18.51490123
125	18.48929118
126	18.47437323
127	18.47127536
128	18.4479722
129	18.43221428
130	18.39186192
131	18.39147916
132	18.37885832
133	18.3706503
134	18.36482083
135	18.35635208
136	18.33791897
137	18.33539368
138	18.31685877
139	18.30854854
140	18.30416112
141	18.30076134
142	18.27528364
143	18.27273898
144	18.26826578
145	18.26478898
146	18.26056143
147	18.2381086
148	18.23597197
149	18.22902592
150	18.20061508
151	18.20057896
152	18.17423318
153	18.10528932
154	18.10275602
155	18.09631275
156	18.07165515
157	18.02359478
158	18.00527493
159	18.00151412
160	17.93022989
161	17.91591993
162	17.91382147
163	17.90525593
164	17.88923473
165	17.88715768
166	17.8847204
167	17.81738006
168	17.81151571
169	17.80753475
170	17.79842298
171	17.75841199
172	17.7472735
173	17.72895046
174	17.72879903
175	17.72043168
176	17.70146927
177	17.69679064
178	17.69223487
179	17.68399917
180	17.67858041
181	17.67474707
182	17.66153705
183	17.65255105
184	17.65089426
185	17.64786923
186	17.64624489
187	17.64199856
188	17.64059661
189	17.63865608
190	17.62658572
191	17.62645358
192	17.60688406
193	17.5539301
194	17.54911608
195	17.54740876
196	17.5371492
197	17.53405006
198	17.53068183
199	17.51755817
200	17.50616806
201	17.50123975
202	17.49946187
203	17.49652549
204	17.48935263
205	17.48541645
206	17.48124248
207	17.47986667
208	17.47747535
209	17.47149968
210	17.4623413
211	17.41970513
212	17.41687366
213	17.40591097
214	17.38804313
215	17.38661645
216	17.382619
217	17.3800875
218	17.36744819
219	17.3662424
220	17.35683887
221	17.35209759
222	17.34138756
223	17.3394393
224	17.33587526
225	17.33433511
226	17.33088826
227	17.31957558
228	17.30088629
229	17.299408
230	17.29632067
231	17.27994467
232	17.2732129
233	17.25759166
234	17.25480856
235	17.24292131
236	17.24213031
237	17.22502903
238	17.22301636
239	17.21992196
240	17.21565944
241	17.20481266
242	17.19487159
243	17.19398244
244	17.18510548
245	17.13464414
246	17.11975843
247	17.10442588
248	17.10323414
249	17.09227547
250	17.09128652
251	17.08130065
252	17.07989
253	17.06526195
254	17.05796546
255	17.04511907
256	17.03502588
257	17.03426798
258	17.02083878
259	17.01258885
260	17.00318054
261	17.00199532
262	17.00082491
263	16.99893169
264	16.99112546
265	16.97756323
266	16.96835985
267	16.95900647
268	16.95786699
269	16.94904834
270	16.94790786
271	16.93064896
272	16.92553718
273	16.92453256
274	16.91776306
275	16.90903769
276	16.90789982
277	16.89870551
278	16.884029
279	16.88344271
280	16.88154577
281	16.8692
282	16.86758433
283	16.85942202
284	16.85793218
285	16.84695419
286	16.8378724
287	16.83610049
288	16.82244085
289	16.77500444
290	16.77451686
291	16.76550109
292	16.76499923
293	16.75897588
294	16.72682357
295	16.71954118
296	16.68956794
297	16.68802256
298	16.68046958
299	16.67260908
300	16.65896457
301	16.6523166
302	16.62674165
303	16.62106586
304	16.62014851
305	16.5730529
306	16.5607757
307	16.5495037
308	16.50635126
309	16.50509208
310	16.50182958
311	16.50082938
312	16.47340304
313	16.46880847
314	16.44315465
315	16.44219962
316	16.41825023
317	16.39529667
318	16.37401068
319	16.37071151
320	16.35161452
321	16.34300752
322	16.34075779
323	16.33227473
324	16.33109366
325	16.31023301
326	16.30678376
327	16.28747922
328	16.28306722
329	16.2753699
330	16.25608198
331	16.25372474
332	16.23581113
333	16.23005544
334	16.22713514
335	16.20927123
336	16.20063842
337	16.19995378
338	16.1946334
339	16.18205947
340	16.16948864
341	16.14008735
342	16.13380649
343	16.11412875
344	16.10653984
345	16.10109728
346	16.09560093
347	16.07897429
348	16.07682839
349	16.0721655
350	16.06364922
351	16.02814248
352	16.00823869
353	16.00132789
354	15.9941917
355	15.98917866
356	15.98889424
357	15.98586673
358	15.96737469
359	15.95011463
360	15.94813361
361	15.94074231
362	15.9209031
363	15.90273759
364	15.88481275
365	15.88050145
366	15.86396332
367	15.84854681
368	15.84412198
369	15.83799039
370	15.82698455
371	15.82357427
372	15.81888822
373	15.81861551
374	15.81585159
375	15.8139674
376	15.79795884
377	15.76790746
378	15.76386379
379	15.75799506
380	15.73041385
381	15.72555386
382	15.71066216
383	15.70772191
384	15.67611196
385	15.66132285
386	15.65940526
387	15.64560202
388	15.63899445
389	15.63307554
390	15.61411211
391	15.61330857
392	15.60670876
393	15.60647307
394	15.58803648
395	15.58294172
396	15.57596444
397	15.57132184
398	15.55714156
399	15.55691278
400	15.55525947
401	15.55504568
402	15.55090339
403	15.53770603
404	15.53582733
405	15.52020914
406	15.49232676
407	15.47883902
408	15.46312905
409	15.43340552
410	15.4294815
411	15.42899853
412	15.40114499
413	15.39459181
414	15.39031198
415	15.38333457
416	15.36875406
417	15.34007945
418	15.32732315
419	15.3256872
420	15.32068329
421	15.31316293
422	15.30316047
423	15.30132723
424	15.29868856
425	15.2842425
426	15.27711999
427	15.26990389
428	15.25174321
429	15.2231914
430	15.22281519
431	15.21714531
432	15.21055795
433	15.20376091
434	15.19807052
435	15.19199896
436	15.16757959
437	15.16052135
438	15.15509631
439	15.15044733
440	15.14810355
441	15.14384358
442	15.13945948
443	15.11307147
444	15.10622632
445	15.10075919
446	15.10055576
447	15.09560959
448	15.08913928
449	15.07358334
450	15.07089435
451	15.06664707
452	15.06646728
453	15.05955754
454	15.05324353
455	15.04828901
456	15.03506231
457	15.00977361
458	14.98670016
459	14.98196386
460	14.95055317
461	14.94679228
462	14.94520712
463	14.94014181
464	14.9273299
465	14.92586795
466	14.92122695
467	14.9195716
468	14.91490108
469	14.90957684
470	14.88059077
471	14.87996366
472	14.87633497
473	14.87336013
474	14.85924642
475	14.85786609
476	14.83258476
477	14.82873205
478	14.81513225
479	14.80139166
480	14.78858332
481	14.76532194
482	14.7616953
483	14.76083549
484	14.73166667
485	14.70406402
486	14.67726784
487	14.64192464
488	14.63875233
489	14.63131935
490	14.60620585
491	14.60567952
